k,time_mn,rounds_mn,metric_mn,time_sd,rounds_sd,metric_sd,rounds_ind_mn,rounds_ind_sd
1,0.6686388969421386,2.0,0.0,0.032649568557155444,0.0,0.0,20531.0,0.0
1000,126.1572056388855,47.44,545.9288433119902,112.73866481895077,8.94015659818104,7.774328232760237,258138.52,214935.9973385789
2000,329.9956395339966,99.76,549.9374097886449,215.9828849901993,9.76639134993064,7.221488295733466,700445.56,446995.5327536131
3000,546.0808244037628,149.8,552.1413797299315,320.28727995605544,15.80632784678339,5.485699047315906,1095794.12,625159.1643525875
4000,613.0732068920136,199.48,548.8770411442272,500.1862818948698,21.555732416227475,8.386678784058935,1116367.32,897253.918905266
5000,1084.6102812957763,241.72,551.0148069768006,586.8979330866413,33.83432576541167,8.787797966899438,1779521.6,944463.7591782546
6000,1199.7691447925567,304.92,551.5245671580976,791.4482771290442,16.972731070749926,5.628789851320403,1858883.96,1206787.378348066
7000,1526.3864801979064,344.32,550.9726360246694,926.5762845401591,34.15695536783102,7.201896950177043,2207273.72,1316337.9626221077
8000,1579.3092223834992,380.72,549.9696390199233,1158.7430681825008,67.71145840993236,7.488787863993601,2188678.04,1569880.220019081
9000,1622.2782637405396,437.04,548.9497403738375,1400.7081772311985,64.26101773237022,7.709572711689002,2092908.96,1769406.7746587496
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
